date,cases,growth_rate
2020-03-01,32,2.3454545454545452
2020-03-02,55,2.445945945945946
2020-03-03,74,2.7196261682242993
2020-03-04,107,2.2880434782608696
2020-03-05,184,2.70042194092827
2020-03-06,237,2.2878411910669976
2020-03-07,403,2.1445086705202314
2020-03-08,519,2.3164983164983166
2020-03-09,594,2.4667519181585678
2020-03-10,782,2.3827375762859635
2020-03-11,1147,2.3991172761664563
2020-03-12,1586,2.342045966651645
2020-03-13,2219,2.078576225654802
2020-03-14,2978,2.4567247820672478
2020-03-15,3212,2.391750374011541
2020-03-16,4679,2.4080159705159705
2020-03-17,6512,2.4901297851455992
2020-03-18,9169,2.4660030739954624
2020-03-19,13663,2.299301048427359
2020-03-20,20030,2.3392891450528337
2020-03-21,26025,2.322220628317315
2020-03-22,34855,2.2302651564466434
2020-03-23,46086,2.212970475149035
2020-03-24,56698,2.259404126619458
2020-03-25,68773,2.21567201228453
2020-03-26,86613,2.1862137084136646
2020-03-27,105293,2.1511529223378703
2020-03-28,124900,2.15358292935686
2020-03-29,143779,2.158662976829996
2020-03-30,165861,2.1346831306555933
2020-03-31,192177,2.139351554617995
2020-04-01,218060,2.1286793561604687
2020-04-02,248447,2.11773537267712
2020-04-03,280417,2.0899620970417825
2020-04-04,313432,2.0883209563590914
2020-04-05,341629,2.0844804492713864
2020-04-06,371802,2.079846333938474
2020-04-07,403212,2.0794245384203744
2020-04-08,435407,2.0712463483187906
2020-04-09,469989,2.0582115461771613
2020-04-10,503474,2.0505403711086334
2020-04-11,532782,2.0461114614915967
2020-04-12,559709,2.0487841535187648
2020-04-13,585518,2.0491221042140952
2020-04-14,614082,2.0487406227735634
2020-04-15,644247,2.0483521005020364
2020-04-16,675648,2.039427262087455
2020-04-17,708317,2.0348919651637227
2020-04-18,736244,2.037299867573658
2020-04-19,761933,2.0329726084420505
2020-04-20,790353,2.035905846673191
2020-04-21,816413,2.039237247953536
2020-04-22,845727,2.0384009302420836
2020-04-23,878911,2.0345933105574683
2020-04-24,912662,2.0284293935613418
2020-04-25,944234,2.0238775875882267
2020-04-26,971078,2.024803246619362
2020-04-27,994265,2.0272944256992167
2020-04-28,1018926,2.0281704000145213
2020-04-29,1046737,2.031814938154139
2020-04-30,1076224,2.0250021612587172
2020-05-01,1110464,2.021486907719719
2020-05-02,1138228,2.020110348030636
2020-05-03,1162685,2.020664937140988
2020-05-04,1186067,2.02072482791264
2020-05-05,1210577,2.022446195007389
2020-05-06,1235666,2.02117220013899
2020-05-07,1263402,2.019337271373661
2020-05-08,1290151,2.0143494900383927
2020-05-09,1315099,2.0145632960261475
2020-05-10,1333970,2.0167910819958963
2020-05-11,1353397,2.0152333877374247
2020-05-12,1376122,2.0194390462999747
2020-05-13,1397085,2.017732226874206
2020-05-14,1424243,2.016568494747837
2020-05-15,1449498,2.012429471318223
2020-05-16,1473514,2.0147382843476027
2020-05-17,1491829,2.0139085595607393
2020-05-18,1513816,2.0150253669526625
2020-05-19,1534871,2.0166021260221076
2020-05-20,1557933,2.014718417373933
2020-05-21,1583798,2.0131310321826335
2020-05-22,1607109,2.0122502475107664
2020-05-23,1628212,2.011131821099676
2020-05-24,1648158,2.0116717321580193
2020-05-25,1666505,2.0109925763187175
2020-05-26,1685956,2.0134163376824374
2020-05-27,1704489,2.014041683334713
2020-05-28,1727357,2.0135966184291956
2020-05-29,1751612,2.010722484944475
2020-05-30,1775428,2.0094334523102986
2020-05-31,1794465,2.011808039448093
2020-06-01,1811393,2.010915646268896
2020-06-02,1832782,2.011532889893501
2020-06-03,1852788,2.0135255549698106
2020-06-04,1874156,2.011268725273163
2020-06-05,1899505,2.009194600475816
2020-06-06,1920910,2.009023136618088
2020-06-07,1938572,2.009386707183405
2020-06-08,1956064,2.010611190599795
2020-06-09,1974425,2.0115476982784197
2020-06-10,1995376,2.0123433302715297
2020-06-11,2018418,2.0123660765847156
2020-06-12,2043332,2.0091941409649037
2020-06-13,2068600,2.0093197082417817
2020-06-14,2087619,2.0112444977041632
2020-06-15,2107075,2.012436360974071
2020-06-16,2130768,2.0129177334099118
2020-06-17,2157267,2.014178077866163
2020-06-18,2185134,2.0144022309311564
2020-06-19,2216115,2.0115514369902208
2020-06-20,2248032,2.013489885664028
2020-06-21,2274000,2.01571066822408
2020-06-22,2304676,2.0147064100570553
2020-06-23,2340884,2.016989782386299
2020-06-24,2375310,2.0187745325719697
2020-06-25,2415666,2.016805640265272
2020-06-26,2461019,2.016148239794308
2020-06-27,2502378,2.0157531873491568
2020-06-28,2542787,2.0178020817362565
2020-06-29,2582844,2.019585944133194
2020-06-30,2628824,2.020739376609887
2020-07-01,2680312,2.018948426477576
2020-07-02,2735900,2.016339035799954
2020-07-03,2787741,2.0174990911625708
2020-07-04,2833290,2.0153187622057187
2020-07-05,2882870,2.02075652059834
2020-07-06,2927032,2.0199947318868445
2020-07-07,2987787,2.0205304169577496
2020-07-08,3047527,2.0218189546682512
2020-07-09,3110094,2.0188920352188973
2020-07-10,3177953,2.018247425641393
