Channel Title,Number of Videos,Total Views,Total Likes,Proportion of Likes,Subscriber Count
UCbRj3Tcy1Zoz3rcf83nW5kw,6,3968245,136270,0.034340117608665795,"(2430000, 'SAM THE COOKING GUY')"
UCekQr9znsk2vWxBo3YiLq2w,2,1597714,110168,0.06895351733789652,"(2480000, 'You Suck At Cooking')"
UCcp9uRaBwInxl_SZqGRksDA,2,6266385,137220,0.021897792746535683,"(3280000, 'HidaMari Cooking')"
UC49jksLkSkmetiZv2p7uYNg,2,10867413,134079,0.012337710916112235,"(1190000, 'Kdeb Cooking')"
UCk3JZr7eS3pg5AGEvBdEvFg,2,6428902,212084,0.03298914806914151,"(6380000, 'Village Cooking Channel')"
